,country,data,job_title,location,location_type,years_of_experience,min_salary,max_salary,median_salary,min_base_salary,max_base_salary,median_base_salary,min_additional_pay,max_additional_pay,median_additional_pay,salary_period,salary_currency,salary_count,salaries_updated_at,publisher_name,publisher_link,confidence
0,South Korea,"{'status': 'OK', 'request_id': '5c2698f4-ac31-4055-b40a-d9d2c896ca1d', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'south korea', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'South Korea', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 38662960, 'max_salary': 41598400, 'median_salary': 40130680, 'min_base_salary': 34833240, 'max_base_salary': 37476360, 'median_base_salary': 36154800, 'min_additional_pay': 3829720, 'max_additional_pay': 4122040, 'median_additional_pay': 3975880, 'salary_period': 'YEAR', 'salary_currency': 'KRW', 'salary_count': 1, 'salaries_updated_at': '2023-01-30T21:08:37.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=135', 'confidence': 'LOW'}]}",Artificial Intelligence Engineer,South Korea,ANY,,38662960.0,41598400.0,40130680.0,34833240.0,37476360.0,36154800.0,3829720.0,4122040.0,3975880.0,YEAR,KRW,1,2023-01-30T21:08:37.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=135,LOW
1,China,"{'status': 'OK', 'request_id': 'bda8bb41-1091-4d88-a92d-8631f88415d9', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'china', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'China', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 429050, 'max_salary': 597082.72, 'median_salary': 513066.36, 'min_base_salary': 225000, 'max_base_salary': 375000, 'median_base_salary': 300000, 'min_additional_pay': 204050, 'max_additional_pay': 222082.72, 'median_additional_pay': 213066.36, 'salary_period': 'YEAR', 'salary_currency': 'CNY', 'salary_count': 4, 'salaries_updated_at': '2024-08-23T00:38:28.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=48', 'confidence': 'LOW'}]}",Artificial Intelligence Engineer,China,ANY,,429050.0,597082.72,513066.36,225000.0,375000.0,300000.0,204050.0,222082.72,213066.36,YEAR,CNY,4,2024-08-23T00:38:28.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=48,LOW
2,USA,"{'status': 'OK', 'request_id': '091bcef2-8aa0-4919-8659-dbef1b9e9fa1', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'usa', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'United States', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 115342.5, 'max_salary': 182885.98, 'median_salary': 144357.76, 'min_base_salary': 92570.11, 'max_base_salary': 140377.51, 'median_base_salary': 113994.57, 'min_additional_pay': 22772.39, 'max_additional_pay': 42508.47, 'median_additional_pay': 30363.19, 'salary_period': 'YEAR', 'salary_currency': 'USD', 'salary_count': 140, 'salaries_updated_at': '2025-04-10T23:59:59.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=1', 'confidence': 'CONFIDENT'}]}",Artificial Intelligence Engineer,United States,ANY,,115342.5,182885.98,144357.76,92570.11,140377.51,113994.57,22772.39,42508.47,30363.19,YEAR,USD,140,2025-04-10T23:59:59.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=1,CONFIDENT
3,France,"{'status': 'OK', 'request_id': '40db6f96-1e33-4173-99c7-15a9cb4a1c57', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'france', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'France', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 2541.30175, 'max_salary': 3077.99325, 'median_salary': 2809.6475, 'min_base_salary': 2470, 'max_base_salary': 3000, 'median_base_salary': 2735, 'min_additional_pay': 71.30175, 'max_additional_pay': 77.99325, 'median_additional_pay': 74.6475, 'salary_period': 'MONTH', 'salary_currency': 'EUR', 'salary_count': 2, 'salaries_updated_at': '2025-04-04T01:08:30.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=86', 'confidence': 'LOW'}]}",Artificial Intelligence Engineer,France,ANY,,2541.30175,3077.99325,2809.6475,2470.0,3000.0,2735.0,71.30175,77.99325,74.6475,MONTH,EUR,2,2025-04-04T01:08:30.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=86,LOW
4,Australia,"{'status': 'OK', 'request_id': '1c1413df-d437-428b-94f5-c5cf9194f52f', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'australia', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'Australia', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 69549.29, 'max_salary': 75287.09, 'median_salary': 72418.19, 'min_base_salary': 69549.29, 'max_base_salary': 75287.09, 'median_base_salary': 72418.19, 'salary_period': 'YEAR', 'salary_currency': 'AUD', 'salary_count': 1, 'salaries_updated_at': '2021-08-05T05:19:40.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=16', 'confidence': 'LOW'}]}",Artificial Intelligence Engineer,Australia,ANY,,69549.29,75287.09,72418.19,69549.29,75287.09,72418.19,,,,YEAR,AUD,1,2021-08-05T05:19:40.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=16,LOW
5,United Kingdom,"{'status': 'OK', 'request_id': '2c0a4691-7102-46a3-87ad-3286555f7091', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'united kingdom', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'United Kingdom', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 32736.03205669942, 'max_salary': 65602.71439180539, 'median_salary': 46341.909340645834, 'min_base_salary': 32736.03205669942, 'max_base_salary': 65602.71439180539, 'median_base_salary': 46341.909340645834, 'min_additional_pay': 0, 'max_additional_pay': 0, 'median_additional_pay': 0, 'salary_period': 'YEAR', 'salary_currency': 'GBP', 'salary_count': 18, 'salaries_updated_at': '2025-04-24T04:11:28.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=2', 'confidence': 'VERY_HIGH'}]}",Artificial Intelligence Engineer,United Kingdom,ANY,,32736.03205669942,65602.71439180539,46341.909340645834,32736.03205669942,65602.71439180539,46341.909340645834,0.0,0.0,0.0,YEAR,GBP,18,2025-04-24T04:11:28.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=2,VERY_HIGH
6,Canada,"{'status': 'OK', 'request_id': '6c2fce81-d25c-4768-879f-fe11454f11c9', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'canada', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'Canada', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 77272.72084609937, 'max_salary': 123355.0087953587, 'median_salary': 97631.84500772218, 'min_base_salary': 77272.72084609937, 'max_base_salary': 123355.0087953587, 'median_base_salary': 97631.84500772218, 'min_additional_pay': 0, 'max_additional_pay': 0, 'median_additional_pay': 0, 'salary_period': 'YEAR', 'salary_currency': 'CAD', 'salary_count': 9, 'salaries_updated_at': '2025-04-24T04:13:46.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=3', 'confidence': 'VERY_HIGH'}]}",Artificial Intelligence Engineer,Canada,ANY,,77272.72084609937,123355.0087953587,97631.84500772218,77272.72084609937,123355.0087953587,97631.84500772218,0.0,0.0,0.0,YEAR,CAD,9,2025-04-24T04:13:46.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=3,VERY_HIGH
7,India,"{'status': 'OK', 'request_id': '18325ee9-a40b-4404-8fd9-694538b16814', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'india', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'Indianapolis, IN', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 98394.86, 'max_salary': 156536.78, 'median_salary': 123434.8, 'min_base_salary': 80875.8, 'max_base_salary': 123834.54, 'median_base_salary': 100076.06, 'min_additional_pay': 17519.06, 'max_additional_pay': 32702.24, 'median_additional_pay': 23358.74, 'salary_period': 'YEAR', 'salary_currency': 'USD', 'salary_count': 140, 'salaries_updated_at': '2025-04-10T23:59:59.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=C&locId=1145013', 'confidence': 'CONFIDENT'}]}",Artificial Intelligence Engineer,"Indianapolis, IN",ANY,,98394.86,156536.78,123434.8,80875.8,123834.54,100076.06,17519.06,32702.24,23358.74,YEAR,USD,140,2025-04-10T23:59:59.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=C&locId=1145013,CONFIDENT
8,Japan,"{'status': 'OK', 'request_id': 'a95fa625-eb07-40e7-bbee-29b6c948b245', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'japan', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'Japan', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 248514.61666666667, 'max_salary': 544767.35, 'median_salary': 396640.98333333334, 'min_base_salary': 230000, 'max_base_salary': 525000, 'median_base_salary': 377500, 'min_additional_pay': 18514.616666666665, 'max_additional_pay': 19767.35, 'median_additional_pay': 19140.983333333337, 'salary_period': 'MONTH', 'salary_currency': 'JPY', 'salary_count': 2, 'salaries_updated_at': '2024-06-10T20:26:15.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=123', 'confidence': 'LOW'}]}",Artificial Intelligence Engineer,Japan,ANY,,248514.61666666667,544767.35,396640.98333333334,230000.0,525000.0,377500.0,18514.616666666665,19767.35,19140.983333333337,MONTH,JPY,2,2024-06-10T20:26:15.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=123,LOW
9,Germany,"{'status': 'OK', 'request_id': '6296ce91-865b-4232-bb0d-6ac6b987125f', 'parameters': {'job_title': 'artificial intelligence engineer', 'location': 'germany', 'location_type': 'ANY', 'years_of_experience': None}, 'data': [{'location': 'Germany', 'job_title': 'Artificial Intelligence Engineer', 'min_salary': 16.7991, 'max_salary': 55.23385, 'median_salary': 36.016475, 'min_base_salary': 12, 'max_base_salary': 50, 'median_base_salary': 31, 'min_additional_pay': 4.7991, 'max_additional_pay': 5.2338499999999994, 'median_additional_pay': 5.016475, 'salary_period': 'HOUR', 'salary_currency': 'EUR', 'salary_count': 2, 'salaries_updated_at': '2024-03-29T18:09:17.000Z', 'publisher_name': 'Glassdoor', 'publisher_link': 'https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=96', 'confidence': 'LOW'}]}",Artificial Intelligence Engineer,Germany,ANY,,16.7991,55.23385,36.016475,12.0,50.0,31.0,4.7991,5.2338499999999994,5.016475,HOUR,EUR,2,2024-03-29T18:09:17.000Z,Glassdoor,https://www.glassdoor.com/Salaries/company-salaries.htm?suggestCount=0&suggestChosen=false&sc.keyword=Artificial%20Intelligence%20Engineer&locT=N&locId=96,LOW
